name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,2007.0,,70000.0,Petrrol,None,Manual,First Owner
Maruti Wagon R LXI Minor,,135000.0,50000.0,Petorl,Indvidual,Manual,First Owner
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Deisel,Indvidual,Manual,First Owner
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petorl,Indivudal,Manual,First Owner
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Diesl,Indivudal,Manual,Second Owner
Maruti Alto LX BSIII,2007.0,140000.0,,Petrl,Indvidual,Manual,First Owner
,2016.0,550000.0,,Petrl,Indvidual,Manual,First Owner
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrl,Indvidual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrl,Indvidual,Manual,First Owner
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Indivudal,Manual,First Owner
,2015.0,260000.0,35000.0,Petrl,Indivudal,,First Owner
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petorl,Indvidual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,None,Deelar,Automatic,First Owner
Maruti 800 AC,2007.0,,70000.0,Petrl,None,Manual,First Owner
Maruti Wagon R LXI Minor,2007.0,135000.0,,Petorl,Indvidual,Manual,First Owner
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Diesl,Indvidual,Manual,First Owner
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrl,Indivudal,Manual,First Owner
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Deisel,Indvidual,Manual,Second Owner
Maruti Alto LX BSIII,2007.0,140000.0,125000.0,Petrl,Indvidual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,Petorl,Indvidual,Manual,First Owner
Tata Indigo Grand Petrol,,240000.0,60000.0,Petrrol,Indivudal,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrl,Indivudal,Manual,First Owner
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Indvidual,Manual,
Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,Petrl,Indivudal,Manual,First Owner
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrrol,Indivudal,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrrol,Dealerr,Automatic,First Owner
Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,Petrrol,Deelar,Manual,First Owner
Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,Deisel,Deelar,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,,33000.0,Deisel,Indivudal,Manual,Second Owner
,2014.0,1964999.0,28000.0,Deisel,None,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Diesl,Dealerr,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,Deisel,Dealerr,Automatic,First Owner
,,1190000.0,175900.0,Deisel,Deelar,Automatic,First Owner
Honda City V MT,2018.0,930000.0,14500.0,Petrrol,Dealerr,Manual,First Owner
Tata Tigor 1.2 Revotron XT,2018.0,525000.0,,Petorl,Indvidual,Manual,
Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,Diesl,Dealerr,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,Diesl,Dealerr,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,,Diesl,Dealerr,,Second Owner
Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,Petorl,Indivudal,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,Diesl,Indivudal,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,,1400000.0,10000.0,Petorl,None,Manual,First Owner
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,Petrl,Deelar,,First Owner
,2014.0,229999.0,60000.0,None,Indvidual,,Fourth & Above Owner
BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,Diesl,Deelar,Automatic,Second Owner
Audi Q7 35 TDI Quattro Premium,2009.0,1250000.0,78000.0,Deisel,Dealerr,Automatic,Third Owner
Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,Diesl,Indvidual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,Deisel,Indvidual,,First Owner
Honda City i DTEC V,,560000.0,74000.0,Deisel,Indvidual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,Petrrol,Indivudal,Manual,Second Owner
Maruti Wagon R VXI BS IV,,275000.0,60000.0,Petrrol,Indivudal,Manual,
Mahindra Scorpio LX,2009.0,411000.0,120000.0,Diesl,None,Manual,Second Owner
Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,Petrrol,Indvidual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,Petrrol,Indivudal,Manual,First Owner
Maruti Alto LXi,,100000.0,80000.0,Petorl,Indvidual,Manual,
Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,Diesl,Deelar,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,Petrl,None,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,Deisel,Deelar,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,Petorl,Dealerr,Manual,First Owner
,2016.0,665000.0,46000.0,Deisel,None,Manual,
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,Deisel,Dealerr,Manual,First Owner
Maruti Alto LXi,2012.0,160000.0,60000.0,Petrrol,Indvidual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,Deisel,Indvidual,Manual,Second Owner
Honda City i DTEC VX,2014.0,675000.0,90000.0,Deisel,Deelar,Manual,
Maruti Wagon R VXI BS IV,2013.0,,80000.0,Petorl,Deelar,Manual,First Owner
Tata Indica DLS,2005.0,70000.0,80000.0,Deisel,Indivudal,Manual,First Owner
Hyundai EON Magna Plus,2014.0,240000.0,,None,Dealerr,Manual,Second Owner
Toyota Etios GD,2014.0,525000.0,92000.0,Deisel,Dealerr,,First Owner
Maruti Alto LXi,2009.0,151000.0,66764.0,None,Deelar,Manual,Second Owner
Maruti Alto LXi,2009.0,140000.0,100000.0,Petorl,Indvidual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,Deisel,Indvidual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,Deisel,Indivudal,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,,570000.0,60000.0,Diesl,Indivudal,Manual,First Owner
,2018.0,300000.0,31000.0,Petorl,Indvidual,Manual,First Owner
Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,None,Indvidual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,Deisel,None,Manual,Third Owner
Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,Diesl,Indivudal,,Fourth & Above Owner
Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,Petorl,Indivudal,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,,925000.0,,Deisel,Indivudal,Manual,First Owner
Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,Deisel,Indivudal,Manual,First Owner
Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,Petrl,None,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010.0,,63000.0,Petrl,Indvidual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,Diesl,Indvidual,Manual,Second Owner
Hyundai Getz GLS,2005.0,80000.0,120000.0,Petrrol,Indivudal,Manual,Third Owner
,2014.0,650000.0,76000.0,Petorl,Indvidual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,Deisel,Indivudal,Manual,First Owner
Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,Deisel,Indivudal,Manual,First Owner
Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,Petorl,Deelar,Manual,First Owner
Honda Brio S MT,2015.0,371000.0,20000.0,Petrrol,Deelar,,First Owner
Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,Petrl,Deelar,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000.0,6500.0,Deisel,Deelar,Automatic,First Owner
Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,Deisel,Indvidual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,Deisel,Indivudal,Manual,First Owner
Hyundai Santro Xing XO,2007.0,80000.0,58000.0,Petrrol,Deelar,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,Diesl,Deelar,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,Diesl,Dealerr,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,Deisel,Indivudal,Manual,Second Owner
Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,Deisel,None,Automatic,First Owner
Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,Petorl,Dealerr,Manual,Second Owner
,2013.0,450000.0,50000.0,None,Indivudal,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,Diesl,Deelar,,First Owner
,2009.0,210000.0,63500.0,Petorl,Deelar,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,,Petrl,Dealerr,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017.0,2750000.0,,Deisel,Indivudal,Automatic,First Owner
Volvo V40 D3 R Design,2018.0,1975000.0,21000.0,None,Deelar,Automatic,First Owner
Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,Petrl,Dealerr,Manual,First Owner
BMW 7 Series 730Ld,2012.0,2500000.0,,Deisel,Dealerr,Automatic,First Owner
Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,Diesl,None,Manual,First Owner
Hyundai Sonata CRDi M/T,2010.0,600000.0,100000.0,None,Indvidual,Manual,First Owner
Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,Petrrol,Indivudal,Manual,
Mahindra Xylo D4,2018.0,750000.0,87000.0,Deisel,Indivudal,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,Petorl,None,Manual,First Owner
Renault KWID RXT,2017.0,,16000.0,Petrrol,Indivudal,Manual,First Owner
Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,Deisel,Indvidual,Manual,First Owner
Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,Petrrol,None,Manual,Fourth & Above Owner
Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,Petrl,Indivudal,Manual,Third Owner
Renault KWID RXT,,350000.0,25000.0,None,Indvidual,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,Deisel,Indvidual,Manual,First Owner
Maruti Swift Dzire VDI,2014.0,434000.0,,Deisel,Indivudal,,Second Owner
Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,Petrrol,Indivudal,Automatic,First Owner
Mahindra Scorpio LX BSIV,2014.0,555000.0,,Diesl,Indivudal,Manual,Second Owner
Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,Petrrol,None,Manual,Second Owner
Maruti Ertiga VDI,2014.0,500000.0,120000.0,Diesl,Indvidual,Manual,Second Owner
Chevrolet Beat Diesel,2013.0,165000.0,60000.0,Diesl,Indivudal,Manual,
Maruti Zen LX,2004.0,95000.0,50000.0,Petrl,None,Manual,First Owner
Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,Petorl,Indvidual,Manual,First Owner
Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,Diesl,Indivudal,Manual,Fourth & Above Owner
Tata Nano Lx BSIV,2012.0,100000.0,50000.0,Petrrol,Indvidual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,Diesl,Indivudal,Manual,First Owner
,2016.0,,70000.0,Diesl,Indivudal,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,Diesl,Indivudal,Manual,Second Owner
Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,Petrrol,Indivudal,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,,None,Indivudal,Manual,Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,,Diesl,Indvidual,Manual,Third Owner
Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,None,Deelar,Manual,
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,Petrrol,Dealerr,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,,Diesl,Dealerr,Manual,First Owner
Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,Petorl,Indivudal,Manual,First Owner
Maruti 800 Std,1998.0,40000.0,40000.0,Petrrol,Indivudal,Manual,Fourth & Above Owner
Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,Petrrol,Indivudal,Manual,First Owner
Hyundai EON Era Plus,2015.0,200000.0,70000.0,Petorl,Indvidual,Manual,
Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,Deisel,Indvidual,Manual,First Owner
Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,Petorl,Indvidual,Manual,First Owner
Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,Diesl,Indivudal,Manual,First Owner
Maruti 800 AC BSIII,2005.0,100000.0,30000.0,Petorl,Indivudal,,First Owner
Hyundai EON Era Plus,2013.0,280000.0,3240.0,Petorl,Indivudal,Manual,Second Owner
,2015.0,540000.0,,Petrl,Indivudal,Manual,First Owner
Hyundai i20 1.2 Asta,,700000.0,10000.0,Petrrol,Indivudal,Manual,First Owner
Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,Deisel,Indivudal,Manual,First Owner
,2016.0,430000.0,80000.0,Diesl,None,Manual,First Owner
Hyundai Santro LE,2002.0,65000.0,70000.0,Petorl,Indivudal,Manual,First Owner
Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,Deisel,None,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,Petrrol,None,Manual,Second Owner
Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,Petrrol,Indvidual,Manual,First Owner
Mahindra Quanto C8,2012.0,195000.0,140000.0,Diesl,Indivudal,Manual,Second Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,Diesl,Indivudal,Manual,First Owner
Hyundai EON Magna Plus,2012.0,,60000.0,Petrl,Indvidual,Manual,
Renault KWID RXT,2016.0,225000.0,25000.0,Petrl,Indivudal,Manual,First Owner
Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,LPG,Indivudal,Manual,First Owner
Maruti Wagon R LXI,2020.0,240000.0,120000.0,Petorl,Indivudal,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,,175000.0,Diesl,Indivudal,Manual,First Owner
Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,Petorl,Indvidual,Manual,Third Owner
Honda City i VTEC SV,2014.0,620000.0,,Petorl,Indivudal,Manual,First Owner
Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,Diesl,Indivudal,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,,2550000.0,40000.0,Petrrol,Indvidual,Automatic,Second Owner
Honda Brio E MT,2013.0,,70000.0,Petrl,Indivudal,Manual,Second Owner
Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,Petrl,Indivudal,Manual,First Owner
Tata Indigo CR4,2011.0,150000.0,155500.0,Deisel,Indivudal,Manual,First Owner
Hyundai i10 Asta AT,,350000.0,50000.0,Petorl,Indvidual,Automatic,Second Owner
,2016.0,320000.0,40000.0,Petorl,Indivudal,Manual,First Owner
Maruti Swift VDI BSIV,2015.0,,100000.0,Deisel,Indvidual,Manual,Third Owner
Maruti Alto LXi,2012.0,175000.0,80000.0,Petrl,Indvidual,Manual,Third Owner
,2011.0,120000.0,90000.0,Petrl,Indvidual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,2013.0,,90000.0,Deisel,Indivudal,Manual,Second Owner
Hyundai Santro Xing XG,2006.0,70000.0,110000.0,Petrrol,Indvidual,,Third Owner
Maruti Swift Dzire ZXI Plus,2019.0,810000.0,15000.0,Petrl,Indivudal,Manual,
Maruti 800 AC,2007.0,95000.0,100000.0,Petorl,Indvidual,Manual,Second Owner
Maruti Alto K10 LXI CNG,2020.0,282000.0,40000.0,CNG,Indivudal,Manual,First Owner
Maruti 800 Std BSII,2004.0,,60000.0,Petrl,Indivudal,Manual,Second Owner
Tata Nano LX SE,2013.0,72000.0,25000.0,Petrl,Indivudal,Manual,First Owner
Hyundai i20 Magna 1.2,,600000.0,25000.0,Petrl,Indivudal,Manual,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000.0,,Petorl,Indivudal,Manual,First Owner
Maruti Alto K10 VXI,2018.0,380000.0,22155.0,Petorl,Indvidual,Manual,First Owner
Maruti Ciaz 1.4 Delta,2018.0,650000.0,70000.0,Petrl,Indivudal,Manual,First Owner
Maruti Alto LX,2009.0,150000.0,60000.0,Petorl,Indvidual,Manual,Second Owner
Hyundai i20 Asta,2009.0,,110000.0,Petrl,Indivudal,Manual,Second Owner
Tata Nexon 1.2 Revotron XM,2018.0,430000.0,30000.0,Petrrol,Indivudal,Manual,First Owner
Mahindra Bolero Power Plus SLX,2019.0,800000.0,15000.0,Deisel,Indvidual,Manual,First Owner
Maruti Zen D,2003.0,75000.0,100000.0,Diesl,Indvidual,Manual,
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000.0,70000.0,Diesl,Indvidual,Automatic,First Owner
Maruti Eeco 7 Seater Standard BSIV,2017.0,390000.0,24000.0,Petorl,Indivudal,,First Owner
Honda City 1.5 EXI,2005.0,100000.0,120000.0,Petrrol,Indvidual,Manual,Second Owner
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000.0,35000.0,Diesl,None,Automatic,First Owner
Maruti SX4 Zxi with Leather BSIII,2007.0,175000.0,78380.0,Petrl,Indvidual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012.0,,110000.0,Diesl,Indivudal,Manual,
Ford Figo Diesel Titanium,2010.0,170000.0,,Deisel,Indvidual,Manual,Third Owner
Ford Figo Diesel Titanium,2011.0,190000.0,90000.0,Diesl,Indvidual,Manual,Third Owner
Maruti Swift Dzire VDi,2009.0,250000.0,150000.0,Deisel,Indvidual,,Third Owner
Mahindra Xylo E4,2009.0,229999.0,230000.0,Deisel,None,Manual,
Maruti Esteem Vxi - BSIII,2006.0,140000.0,70000.0,Petorl,Indvidual,Manual,Third Owner
Maruti Swift VDI BSIV,2017.0,600000.0,80362.0,Diesl,Indivudal,Manual,First Owner
Hyundai i20 1.2 Sportz,2012.0,280000.0,110000.0,Petrrol,Indivudal,Manual,Third Owner
Chevrolet Beat Diesel LT,2012.0,150000.0,60000.0,Diesl,Indvidual,Manual,First Owner
